!! Predictions spanning range 2319 - 143231 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 2319-3353 orient(+) score(4140.00) noncoding_equivalent(0.41) raw_noncoding(0.00) offset(0.00) 
2319	3353	single+	1	3	{Augustus_model.g2271.t1;Augustus},{GlimmerHMM_glimmerT_2753-T1;GlimmerHMM}
31880	31819	INTRON			{Augustus_model.g2283.t1;Augustus},{GeneMark_model.2947_t;GeneMark},{GlimmerHMM_glimmerT_2765-T1;GlimmerHMM}
34391	31881	initial-	4	6	{GlimmerHMM_glimmerT_2765-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.58 35434-37154 orient(+) score(5310.00) noncoding_equivalent(1484.01) raw_noncoding(1703.00) offset(218.99) 
35434	35890	initial+	1	1	{GeneMark_model.2948_t;GeneMark},{Augustus_model.g2284.t1;Augustus},{GlimmerHMM_glimmerT_2766-T1;GlimmerHMM}
35891	35949	INTRON			{GeneMark_model.2948_t;GeneMark},{Augustus_model.g2284.t1;Augustus},{GlimmerHMM_glimmerT_2766-T1;GlimmerHMM}
35950	36142	internal+	2	2	{GeneMark_model.2948_t;GeneMark},{Augustus_model.g2284.t1;Augustus}
36143	36200	INTRON			{GeneMark_model.2948_t;GeneMark},{Augustus_model.g2284.t1;Augustus}
36201	36291	internal+	3	3	{GeneMark_model.2948_t;GeneMark},{Augustus_model.g2284.t1;Augustus}
36292	36350	INTRON			{GeneMark_model.2948_t;GeneMark},{Augustus_model.g2284.t1;Augustus}
36351	37154	terminal+	1	3	{GeneMark_model.2948_t;GeneMark},{GlimmerHMM_glimmerT_2766-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.86 37238-39923 orient(-) score(8383.00) noncoding_equivalent(2927.77) raw_noncoding(3536.48) offset(608.71) 
37643	37238	terminal-	6	6	{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
37717	37644	INTRON			{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
37893	37718	internal-	4	5	{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
37968	37894	INTRON			{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
38198	37969	internal-	5	6	{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
38260	38199	INTRON			{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
38624	38261	internal-	4	4	{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
38693	38625	INTRON			{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
39262	38694	internal-	5	6	{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{Augustus_model.g2285.t1;Augustus}
39337	39263	INTRON			{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
39474	39338	internal-	6	4	{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
39528	39475	INTRON			{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
39558	39529	internal-	6	5	{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
39631	39559	INTRON			{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
39697	39632	internal-	6	5	{Augustus_model.g2285.t1;Augustus},{GeneMark_model.2949_t;GeneMark}
39756	39698	INTRON			{Augustus_model.g2285.t1;Augustus}
39923	39757	initial-	4	5	{Augustus_model.g2285.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 3.66 40305-40985 orient(-) score(3623.00) noncoding_equivalent(991.08) raw_noncoding(1427.24) offset(436.15) 
40342	40305	terminal-	5	6	{HiQ_model.g2286.t1;HiQ},{GeneMark_model.2950_t;GeneMark}
40417	40343	INTRON			{HiQ_model.g2286.t1;HiQ},{GeneMark_model.2950_t;GeneMark},{ev_type:exonerate/ID=match.2566964.2702/Target=lcl|PJQD01000035_1_prot_POY73708_1_3279;exonerate}
40477	40418	internal-	5	4	{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{HiQ_model.g2286.t1;HiQ},{GeneMark_model.2950_t;GeneMark},{ev_type:exonerate/ID=match.2566964.2702/Target=lcl|PJQD01000035_1_prot_POY73708_1_3279;exonerate}
40543	40478	INTRON			{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{HiQ_model.g2286.t1;HiQ},{GeneMark_model.2950_t;GeneMark},{ev_type:exonerate/ID=match.2566964.2702/Target=lcl|PJQD01000035_1_prot_POY73708_1_3279;exonerate}
40622	40544	internal-	4	4	{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{HiQ_model.g2286.t1;HiQ},{GeneMark_model.2950_t;GeneMark},{ev_type:exonerate/ID=match.2566964.2702/Target=lcl|PJQD01000035_1_prot_POY73708_1_3279;exonerate}
40790	40623	INTRON			{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{HiQ_model.g2286.t1;HiQ},{GeneMark_model.2950_t;GeneMark},{ev_type:exonerate/ID=match.2566964.2702/Target=lcl|PJQD01000035_1_prot_POY73708_1_3279;exonerate}
40985	40791	initial-	4	6	{GlimmerHMM_glimmerT_2767-T1;GlimmerHMM},{HiQ_model.g2286.t1;HiQ},{GeneMark_model.2950_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.77 41147-41552 orient(+) score(1218.00) noncoding_equivalent(689.80) raw_noncoding(783.80) offset(94.00) 
41147	41213	initial+	1	1	{GeneMark_model.2951_t;GeneMark},{Augustus_model.g2287.t1;Augustus},{GlimmerHMM_glimmerT_2768-T1;GlimmerHMM}
41214	41281	INTRON			{GeneMark_model.2951_t;GeneMark},{Augustus_model.g2287.t1;Augustus},{GlimmerHMM_glimmerT_2768-T1;GlimmerHMM}
41282	41422	internal+	2	1	{GeneMark_model.2951_t;GeneMark},{Augustus_model.g2287.t1;Augustus},{GlimmerHMM_glimmerT_2768-T1;GlimmerHMM}
41423	41481	INTRON			{GeneMark_model.2951_t;GeneMark},{Augustus_model.g2287.t1;Augustus},{GlimmerHMM_glimmerT_2768-T1;GlimmerHMM}
41482	41552	terminal+	2	3	{GeneMark_model.2951_t;GeneMark},{Augustus_model.g2287.t1;Augustus},{GlimmerHMM_glimmerT_2768-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 8.67 41698-44672 orient(-) score(23968.00) noncoding_equivalent(2765.88) raw_noncoding(3305.00) offset(539.12) 
42314	41698	terminal-	5	6	{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus}
42378	42315	INTRON			{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate},{ev_type:exonerate/ID=match.2566964.2536/Target=lcl|PJQD01000035_1_prot_POY73710_1_3281;exonerate}
42854	42379	internal-	6	4	{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate},{ev_type:exonerate/ID=match.2566964.2536/Target=lcl|PJQD01000035_1_prot_POY73710_1_3281;exonerate}
42916	42855	INTRON			{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate},{ev_type:exonerate/ID=match.2566964.2536/Target=lcl|PJQD01000035_1_prot_POY73710_1_3281;exonerate}
43100	42917	internal-	5	5	{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate},{ev_type:exonerate/ID=match.2566964.2536/Target=lcl|PJQD01000035_1_prot_POY73710_1_3281;exonerate}
43162	43101	INTRON			{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate},{ev_type:exonerate/ID=match.2566964.2536/Target=lcl|PJQD01000035_1_prot_POY73710_1_3281;exonerate}
43453	43163	internal-	5	4	{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate},{ev_type:exonerate/ID=match.2566964.2536/Target=lcl|PJQD01000035_1_prot_POY73710_1_3281;exonerate}
43529	43454	INTRON			{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate},{ev_type:exonerate/ID=match.2566964.2536/Target=lcl|PJQD01000035_1_prot_POY73710_1_3281;exonerate}
44057	43530	internal-	5	4	{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate}
44114	44058	INTRON			{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate}
44181	44115	internal-	4	4	{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate}
44243	44182	INTRON			{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate}
44338	44244	internal-	5	6	{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate},{ev_type:exonerate/ID=match.2566964.2536/Target=lcl|PJQD01000035_1_prot_POY73710_1_3281;exonerate}
44424	44339	INTRON			{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2541/Target=lcl|NW_017264943_1_prot_XP_018268182_1_6430;exonerate},{ev_type:exonerate/ID=match.2566964.2539/Target=lcl|BJWK01000005_1_prot_GEM08277_1_2294;exonerate},{ev_type:exonerate/ID=match.2566964.2533/Target=lcl|KQ954464_1_prot_KWU47536_1_262;exonerate},{ev_type:exonerate/ID=match.2566964.2538/Target=lcl|LCTV02000005_1_prot_PRQ75237_1_5891;exonerate},{ev_type:exonerate/ID=match.2566964.2536/Target=lcl|PJQD01000035_1_prot_POY73710_1_3281;exonerate}
44524	44425	internal-	4	4	{GeneMark_model.2952_t;GeneMark},{GlimmerHMM_glimmerT_2769-T1;GlimmerHMM},{Augustus_model.g2288.t1;Augustus}
44639	44525	INTRON			{GeneMark_model.2952_t;GeneMark},{Augustus_model.g2288.t1;Augustus}
44672	44640	initial-	4	6	{GeneMark_model.2952_t;GeneMark},{Augustus_model.g2288.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 3.29 46949-49412 orient(-) score(9981.00) noncoding_equivalent(3035.43) raw_noncoding(3892.00) offset(856.57) 
47023	46949	terminal-	4	6	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM}
47104	47024	INTRON			{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
47134	47105	internal-	4	6	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
47199	47135	INTRON			{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
47370	47200	internal-	4	6	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
47434	47371	INTRON			{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
47961	47435	internal-	5	6	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48020	47962	INTRON			{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48180	48021	internal-	4	4	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48245	48181	INTRON			{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48377	48246	internal-	4	6	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48440	48378	INTRON			{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48652	48441	internal-	5	6	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48710	48653	INTRON			{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48803	48711	internal-	5	4	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48866	48804	INTRON			{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48924	48867	internal-	4	4	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
48994	48925	INTRON			{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2499/Target=lcl|KQ954464_1_prot_KWU47537_1_263;exonerate}
49136	48995	internal-	6	6	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus}
49272	49137	INTRON			{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM}
49412	49273	initial-	4	5	{GeneMark_model.2953_t;GeneMark},{Augustus_model.g2289.t1;Augustus},{GlimmerHMM_glimmerT_2770-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.54 49865-53419 orient(-) score(19013.00) noncoding_equivalent(5367.16) raw_noncoding(7260.41) offset(1893.25) 
49911	49865	terminal-	5	6	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ}
49970	49912	INTRON			{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
50024	49971	internal-	5	4	{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
50085	50025	INTRON			{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
50450	50086	internal-	6	4	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
50515	50451	INTRON			{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
50834	50516	internal-	5	5	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
50895	50835	INTRON			{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
50911	50896	internal-	4	4	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
50976	50912	INTRON			{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
51491	50977	internal-	5	6	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
51560	51492	INTRON			{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
51624	51561	internal-	4	4	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
51694	51625	INTRON			{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
51821	51695	internal-	6	6	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
51881	51822	INTRON			{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
52145	51882	internal-	6	5	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
52208	52146	INTRON			{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
52933	52209	internal-	4	5	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
53063	52934	INTRON			{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
53111	53064	internal-	4	6	{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
