!! Predictions spanning range 323 - 84878 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 2.26 323-619 orient(-) score(821.00) noncoding_equivalent(364.08) raw_noncoding(364.08) offset(0.00) 
619	323	single-	4	6	{Augustus_model.g3389.t1;Augustus}
# EVM prediction: Mode:STANDARD S-ratio: 1.81 27799-29301 orient(-) score(3752.00) noncoding_equivalent(2068.63) raw_noncoding(3384.00) offset(1315.37) 
28021	27799	terminal-	6	6	{GlimmerHMM_glimmerT_4078-T1;GlimmerHMM},{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}
28086	28022	INTRON			{GlimmerHMM_glimmerT_4078-T1;GlimmerHMM},{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}
28241	28087	internal-	4	5	{GlimmerHMM_glimmerT_4078-T1;GlimmerHMM},{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}
28329	28242	INTRON			{GlimmerHMM_glimmerT_4078-T1;GlimmerHMM},{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}
28425	28330	internal-	4	6	{GlimmerHMM_glimmerT_4078-T1;GlimmerHMM},{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}
28501	28426	INTRON			{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}
28599	28502	internal-	5	6	{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}
28687	28600	INTRON			{GeneMark_model.4347_t;GeneMark}
28703	28688	internal-	4	4	{GeneMark_model.4347_t;GeneMark}
28791	28704	INTRON			{GeneMark_model.4347_t;GeneMark}
28803	28792	internal-	4	6	{GeneMark_model.4347_t;GeneMark}
28874	28804	INTRON			{GeneMark_model.4347_t;GeneMark}
28894	28875	internal-	5	6	{GeneMark_model.4347_t;GeneMark}
28957	28895	INTRON			{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}
28985	28958	internal-	4	4	{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}
29082	28986	INTRON			{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}
29301	29083	initial-	4	6	{GlimmerHMM_glimmerT_4078-T1;GlimmerHMM},{Augustus_model.g3398.t1;Augustus},{GeneMark_model.4347_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.36 29704-31906 orient(+) score(8977.00) noncoding_equivalent(3806.15) raw_noncoding(4723.00) offset(916.85) 
29704	29809	initial+	1	1	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark}
29810	29902	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
29903	29984	internal+	2	2	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
29985	30082	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
30083	30150	internal+	3	1	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
30151	30217	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
30218	30403	internal+	2	1	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
30404	30467	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
30468	30569	internal+	2	1	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
30570	30643	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
30644	30807	internal+	2	3	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
30808	30873	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
30874	30934	internal+	1	1	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
30935	31003	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31004	31091	internal+	2	2	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31092	31172	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31173	31256	internal+	3	2	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31257	31352	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31353	31429	internal+	3	1	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31430	31489	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31490	31546	internal+	2	1	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31547	31616	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31617	31786	internal+	2	3	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31787	31858	INTRON			{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3737/Target=lcl|PJQD01000133_1_prot_POY70286_1_825;exonerate}
31859	31906	terminal+	1	3	{Augustus_model.g3399.t1;Augustus},{GlimmerHMM_glimmerT_4079-T1;GlimmerHMM},{GeneMark_model.4348_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.13 32141-33975 orient(-) score(6484.00) noncoding_equivalent(1568.16) raw_noncoding(1931.00) offset(362.84) 
32734	32141	terminal-	4	6	{Augustus_model.g3400.t1;Augustus},{GeneMark_model.4349_t;GeneMark},{GlimmerHMM_glimmerT_4080-T1;GlimmerHMM}
32839	32735	INTRON			{Augustus_model.g3400.t1;Augustus},{GeneMark_model.4349_t;GeneMark},{GlimmerHMM_glimmerT_4080-T1;GlimmerHMM}
32906	32840	internal-	6	6	{Augustus_model.g3400.t1;Augustus},{GeneMark_model.4349_t;GeneMark},{GlimmerHMM_glimmerT_4080-T1;GlimmerHMM}
32984	32907	INTRON			{Augustus_model.g3400.t1;Augustus},{GeneMark_model.4349_t;GeneMark},{GlimmerHMM_glimmerT_4080-T1;GlimmerHMM}
33165	32985	internal-	5	5	{Augustus_model.g3400.t1;Augustus},{GeneMark_model.4349_t;GeneMark},{GlimmerHMM_glimmerT_4080-T1;GlimmerHMM}
33252	33166	INTRON			{Augustus_model.g3400.t1;Augustus},{GeneMark_model.4349_t;GeneMark},{GlimmerHMM_glimmerT_4080-T1;GlimmerHMM}
33764	33253	internal-	6	4	{Augustus_model.g3400.t1;Augustus},{GeneMark_model.4349_t;GeneMark},{GlimmerHMM_glimmerT_4080-T1;GlimmerHMM}
33859	33765	INTRON			{Augustus_model.g3400.t1;Augustus},{GeneMark_model.4349_t;GeneMark},{GlimmerHMM_glimmerT_4080-T1;GlimmerHMM}
33975	33860	initial-	4	5	{Augustus_model.g3400.t1;Augustus},{GeneMark_model.4349_t;GeneMark},{GlimmerHMM_glimmerT_4080-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.95 34679-37532 orient(+) score(8974.00) noncoding_equivalent(4611.07) raw_noncoding(5767.00) offset(1155.93) 
34679	34741	initial+	1	3	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
34742	34823	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
34824	34834	internal+	1	2	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
34835	34902	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
34903	35092	internal+	3	3	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
35093	35171	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
35172	35406	internal+	1	1	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
35407	35486	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
35487	35679	internal+	2	2	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
35680	35750	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
35751	35938	internal+	3	1	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
35939	36062	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
36063	36207	internal+	2	2	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
36208	36306	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
36307	36376	internal+	3	3	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
36377	36444	INTRON			{GeneMark_model.4350_t;GeneMark},{Augustus_model.g3401.t1;Augustus}
36445	36524	internal+	1	2	{GeneMark_model.4350_t;GeneMark},{Augustus_model.g3401.t1;Augustus}
36525	36603	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
36604	36866	internal+	3	1	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
36867	37017	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
37018	37167	internal+	2	1	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
37168	37257	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
37258	37317	internal+	2	1	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
37318	37412	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
37413	37423	internal+	2	3	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
37424	37520	INTRON			{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}
37521	37532	terminal+	1	3	{GeneMark_model.4350_t;GeneMark},{GlimmerHMM_glimmerT_4081-T1;GlimmerHMM},{Augustus_model.g3401.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 7.45 37804-41266 orient(+) score(13716.00) noncoding_equivalent(1842.20) raw_noncoding(1927.00) offset(84.80) 
37804	38579	initial+	1	2	{GlimmerHMM_glimmerT_4082-T1;GlimmerHMM},{Augustus_model.g3402.t1;Augustus},{GeneMark_model.4351_t;GeneMark}
38580	38647	INTRON			{GlimmerHMM_glimmerT_4082-T1;GlimmerHMM},{Augustus_model.g3402.t1;Augustus},{GeneMark_model.4351_t;GeneMark},{ev_type:exonerate/ID=match.2566964.972/Target=lcl|PJQD01000106_1_prot_POY70677_1_165;exonerate}
38648	40382	internal+	3	3	{GlimmerHMM_glimmerT_4082-T1;GlimmerHMM},{Augustus_model.g3402.t1;Augustus},{GeneMark_model.4351_t;GeneMark}
40383	40453	INTRON			{GlimmerHMM_glimmerT_4082-T1;GlimmerHMM},{Augustus_model.g3402.t1;Augustus},{GeneMark_model.4351_t;GeneMark}
40454	40569	internal+	1	2	{GlimmerHMM_glimmerT_4082-T1;GlimmerHMM},{Augustus_model.g3402.t1;Augustus},{GeneMark_model.4351_t;GeneMark}
40570	40632	INTRON			{GlimmerHMM_glimmerT_4082-T1;GlimmerHMM},{Augustus_model.g3402.t1;Augustus},{GeneMark_model.4351_t;GeneMark}
40633	41266	terminal+	3	3	{GlimmerHMM_glimmerT_4082-T1;GlimmerHMM},{Augustus_model.g3402.t1;Augustus},{GeneMark_model.4351_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.54 42957-45265 orient(-) score(8087.00) noncoding_equivalent(3182.46) raw_noncoding(3881.00) offset(698.54) 
43113	42957	terminal-	6	6	{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
43175	43114	INTRON			{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
43386	43176	internal-	5	5	{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
43455	43387	INTRON			{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
43482	43456	internal-	5	4	{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
43554	43483	INTRON			{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
43677	43555	internal-	5	4	{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
43771	43678	INTRON			{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
43904	43772	internal-	4	4	{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
43982	43905	INTRON			{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
44046	43983	internal-	6	6	{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
44120	44047	INTRON			{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
44461	44121	internal-	4	5	{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}
44525	44462	INTRON			{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark},{ev_type:exonerate/ID=match.2566964.2683/Target=lcl|PJQD01000105_1_prot_POY70678_1_161;exonerate}
44675	44526	internal-	4	6	{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark},{ev_type:exonerate/ID=match.2566964.2683/Target=lcl|PJQD01000105_1_prot_POY70678_1_161;exonerate}
44752	44676	INTRON			{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark},{ev_type:exonerate/ID=match.2566964.2683/Target=lcl|PJQD01000105_1_prot_POY70678_1_161;exonerate}
45116	44753	internal-	6	6	{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark},{ev_type:exonerate/ID=match.2566964.2683/Target=lcl|PJQD01000105_1_prot_POY70678_1_161;exonerate}
45194	45117	INTRON			{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark},{ev_type:exonerate/ID=match.2566964.2683/Target=lcl|PJQD01000105_1_prot_POY70678_1_161;exonerate}
45265	45195	initial-	4	5	{GlimmerHMM_glimmerT_4083-T1;GlimmerHMM},{Augustus_model.g3403.t1;Augustus},{GeneMark_model.4352_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.42 47058-49094 orient(-) score(6111.00) noncoding_equivalent(2523.00) raw_noncoding(2784.00) offset(261.00) 
47974	47058	terminal-	5	6	{Augustus_model.g3404.t1;Augustus},{GlimmerHMM_glimmerT_4084-T1;GlimmerHMM},{GeneMark_model.4353_t;GeneMark}
48054	47975	INTRON			{Augustus_model.g3404.t1;Augustus},{GlimmerHMM_glimmerT_4084-T1;GlimmerHMM},{GeneMark_model.4353_t;GeneMark}
48594	48055	internal-	5	4	{Augustus_model.g3404.t1;Augustus},{GlimmerHMM_glimmerT_4084-T1;GlimmerHMM},{GeneMark_model.4353_t;GeneMark}
48662	48595	INTRON			{Augustus_model.g3404.t1;Augustus},{GlimmerHMM_glimmerT_4084-T1;GlimmerHMM},{GeneMark_model.4353_t;GeneMark}
48953	48663	internal-	5	4	{Augustus_model.g3404.t1;Augustus},{GlimmerHMM_glimmerT_4084-T1;GlimmerHMM},{GeneMark_model.4353_t;GeneMark}
49054	48954	INTRON			{Augustus_model.g3404.t1;Augustus},{GlimmerHMM_glimmerT_4084-T1;GlimmerHMM},{GeneMark_model.4353_t;GeneMark}
49094	49055	initial-	4	4	{Augustus_model.g3404.t1;Augustus},{GlimmerHMM_glimmerT_4084-T1;GlimmerHMM},{GeneMark_model.4353_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.07 49194-50610 orient(+) score(5355.00) noncoding_equivalent(2587.00) raw_noncoding(4228.00) offset(1641.00) 
49194	49245	initial+	1	1	{Augustus_model.g3405.t1;Augustus},{GlimmerHMM_glimmerT_4085-T1;GlimmerHMM}
49246	49975	INTRON			{Augustus_model.g3405.t1;Augustus},{GlimmerHMM_glimmerT_4085-T1;GlimmerHMM}
49976	50272	internal+	2	1	{GeneMark_model.4354_t;GeneMark},{Augustus_model.g3405.t1;Augustus},{GlimmerHMM_glimmerT_4085-T1;GlimmerHMM}
50273	50336	INTRON			{GeneMark_model.4354_t;GeneMark},{Augustus_model.g3405.t1;Augustus},{GlimmerHMM_glimmerT_4085-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3821/Target=RS23_NEUCR;exonerate},{ev_type:exonerate/ID=match.2566964.3817/Target=lcl|LCTV02000002_1_prot_PRQ76497_1_3547;exonerate},{ev_type:exonerate/ID=match.2566964.3818/Target=lcl|KQ954510_1_prot_KWU42344_1_5316;exonerate}
50337	50379	internal+	2	2	{GeneMark_model.4354_t;GeneMark},{Augustus_model.g3405.t1;Augustus},{GlimmerHMM_glimmerT_4085-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3821/Target=RS23_NEUCR;exonerate},{ev_type:exonerate/ID=match.2566964.3817/Target=lcl|LCTV02000002_1_prot_PRQ76497_1_3547;exonerate},{ev_type:exonerate/ID=match.2566964.3818/Target=lcl|KQ954510_1_prot_KWU42344_1_5316;exonerate}
50380	50444	INTRON			{GeneMark_model.4354_t;GeneMark},{Augustus_model.g3405.t1;Augustus},{GlimmerHMM_glimmerT_4085-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3821/Target=RS23_NEUCR;exonerate},{ev_type:exonerate/ID=match.2566964.3817/Target=lcl|LCTV02000002_1_prot_PRQ76497_1_3547;exonerate},{ev_type:exonerate/ID=match.2566964.3818/Target=lcl|KQ954510_1_prot_KWU42344_1_5316;exonerate}
50445	50503	internal+	3	1	{GeneMark_model.4354_t;GeneMark},{Augustus_model.g3405.t1;Augustus},{GlimmerHMM_glimmerT_4085-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3821/Target=RS23_NEUCR;exonerate},{ev_type:exonerate/ID=match.2566964.3817/Target=lcl|LCTV02000002_1_prot_PRQ76497_1_3547;exonerate},{ev_type:exonerate/ID=match.2566964.3818/Target=lcl|KQ954510_1_prot_KWU42344_1_5316;exonerate}
50504	50575	INTRON			{GeneMark_model.4354_t;GeneMark},{Augustus_model.g3405.t1;Augustus},{GlimmerHMM_glimmerT_4085-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3821/Target=RS23_NEUCR;exonerate},{ev_type:exonerate/ID=match.2566964.3817/Target=lcl|LCTV02000002_1_prot_PRQ76497_1_3547;exonerate},{ev_type:exonerate/ID=match.2566964.3818/Target=lcl|KQ954510_1_prot_KWU42344_1_5316;exonerate}
50576	50610	terminal+	2	3	{GeneMark_model.4354_t;GeneMark},{Augustus_model.g3405.t1;Augustus},{GlimmerHMM_glimmerT_4085-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.03 51041-55936 orient(-) score(13433.00) noncoding_equivalent(6618.63) raw_noncoding(8418.00) offset(1799.37) 
51393	51041	terminal-	5	6	{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
51466	51394	INTRON			{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
51619	51467	internal-	5	4	{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
51686	51620	INTRON			{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
51796	51687	internal-	6	4	{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
51866	51797	INTRON			{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
51890	51867	internal-	6	5	{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
51956	51891	INTRON			{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
52114	51957	internal-	4	5	{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
52190	52115	INTRON			{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
52519	52191	internal-	5	6	{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
52614	52520	INTRON			{Augustus_model.g3406.t1;Augustus},{GlimmerHMM_glimmerT_4086-T1;GlimmerHMM},{GeneMark_model.4355_t;GeneMark}
52783	52615	internal-	4	4	{Augustus_model.g3406.t1;Augustus},{GlimmerHMM_glimmerT_4086-T1;GlimmerHMM},{GeneMark_model.4355_t;GeneMark}
52909	52784	INTRON			{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
53008	52910	internal-	4	6	{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
53086	53009	INTRON			{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
53158	53087	internal-	4	6	{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
53225	53159	INTRON			{Augustus_model.g3406.t1;Augustus},{GeneMark_model.4355_t;GeneMark}
53699	53226	internal-	4	6	{Augustus_model.g3406.t1;Augustus},{GlimmerHMM_glimmerT_4086-T1;GlimmerHMM},{GeneMark_model.4355_t;GeneMark}
