!! Predictions spanning range 1847 - 84476 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 3.00 1847-3418 orient(+) score(4716.00) noncoding_equivalent(1572.00) raw_noncoding(1572.00) offset(0.00) 
1847	3418	single+	1	3	{Augustus_model.g2783.t1;Augustus},{GeneMark_model.3600_t;GeneMark},{GlimmerHMM_glimmerT_3379-T1;GlimmerHMM}
33916	33981	INTRON			{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM}
33982	34536	terminal+	1	3	{GeneMark_model.3610_t;GeneMark},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 9.49 34970-38780 orient(+) score(21417.00) noncoding_equivalent(2257.24) raw_noncoding(2794.00) offset(536.76) 
34970	34978	initial+	1	3	{snap_scaffold_8-snap.82-T1;snap},{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus}
34979	35060	INTRON			{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus}
35061	35132	internal+	1	3	{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus}
35133	35200	INTRON			{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3068/Target=lcl|PJQD01000018_1_prot_POY75272_1_1491;exonerate},{ev_type:exonerate/ID=match.2566964.3067/Target=lcl|KQ954486_1_prot_KWU43752_1_3915;exonerate}
35201	35290	internal+	1	3	{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3068/Target=lcl|PJQD01000018_1_prot_POY75272_1_1491;exonerate},{ev_type:exonerate/ID=match.2566964.3067/Target=lcl|KQ954486_1_prot_KWU43752_1_3915;exonerate}
35291	35456	INTRON			{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3068/Target=lcl|PJQD01000018_1_prot_POY75272_1_1491;exonerate},{ev_type:exonerate/ID=match.2566964.3067/Target=lcl|KQ954486_1_prot_KWU43752_1_3915;exonerate}
35457	35590	internal+	1	2	{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3068/Target=lcl|PJQD01000018_1_prot_POY75272_1_1491;exonerate},{ev_type:exonerate/ID=match.2566964.3067/Target=lcl|KQ954486_1_prot_KWU43752_1_3915;exonerate}
35591	35657	INTRON			{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3068/Target=lcl|PJQD01000018_1_prot_POY75272_1_1491;exonerate},{ev_type:exonerate/ID=match.2566964.3067/Target=lcl|KQ954486_1_prot_KWU43752_1_3915;exonerate}
35658	36000	internal+	3	3	{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3068/Target=lcl|PJQD01000018_1_prot_POY75272_1_1491;exonerate},{ev_type:exonerate/ID=match.2566964.3067/Target=lcl|KQ954486_1_prot_KWU43752_1_3915;exonerate}
36001	36064	INTRON			{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3068/Target=lcl|PJQD01000018_1_prot_POY75272_1_1491;exonerate},{ev_type:exonerate/ID=match.2566964.3067/Target=lcl|KQ954486_1_prot_KWU43752_1_3915;exonerate}
36065	36181	internal+	1	3	{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3068/Target=lcl|PJQD01000018_1_prot_POY75272_1_1491;exonerate},{ev_type:exonerate/ID=match.2566964.3067/Target=lcl|KQ954486_1_prot_KWU43752_1_3915;exonerate}
36182	36245	INTRON			{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3068/Target=lcl|PJQD01000018_1_prot_POY75272_1_1491;exonerate},{ev_type:exonerate/ID=match.2566964.3067/Target=lcl|KQ954486_1_prot_KWU43752_1_3915;exonerate}
36246	38780	terminal+	1	3	{snap_scaffold_8-snap.82-T1;snap},{GlimmerHMM_glimmerT_3391-T1;GlimmerHMM},{GeneMark_model.3611_t;GeneMark},{Augustus_model.g2793.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 2.83 39224-40459 orient(+) score(6170.00) noncoding_equivalent(2179.85) raw_noncoding(2796.00) offset(616.15) 
39224	39325	initial+	1	3	{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus}
39326	39587	INTRON			{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1384/Target=lcl|PJQD01000018_1_prot_POY75270_1_1489;exonerate},{ev_type:exonerate/ID=match.2566964.1382/Target=lcl|KQ954486_1_prot_KWU43751_1_3914;exonerate}
39588	39736	internal+	1	2	{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1384/Target=lcl|PJQD01000018_1_prot_POY75270_1_1489;exonerate},{ev_type:exonerate/ID=match.2566964.1382/Target=lcl|KQ954486_1_prot_KWU43751_1_3914;exonerate}
39737	39800	INTRON			{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1384/Target=lcl|PJQD01000018_1_prot_POY75270_1_1489;exonerate},{ev_type:exonerate/ID=match.2566964.1382/Target=lcl|KQ954486_1_prot_KWU43751_1_3914;exonerate}
39801	39875	internal+	3	2	{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1384/Target=lcl|PJQD01000018_1_prot_POY75270_1_1489;exonerate},{ev_type:exonerate/ID=match.2566964.1382/Target=lcl|KQ954486_1_prot_KWU43751_1_3914;exonerate}
39876	39966	INTRON			{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1382/Target=lcl|KQ954486_1_prot_KWU43751_1_3914;exonerate}
39967	39987	internal+	3	2	{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1382/Target=lcl|KQ954486_1_prot_KWU43751_1_3914;exonerate}
39988	40101	INTRON			{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1382/Target=lcl|KQ954486_1_prot_KWU43751_1_3914;exonerate}
40102	40189	internal+	3	3	{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1382/Target=lcl|KQ954486_1_prot_KWU43751_1_3914;exonerate}
40190	40252	INTRON			{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1384/Target=lcl|PJQD01000018_1_prot_POY75270_1_1489;exonerate},{ev_type:exonerate/ID=match.2566964.1382/Target=lcl|KQ954486_1_prot_KWU43751_1_3914;exonerate}
40253	40459	terminal+	1	3	{GlimmerHMM_glimmerT_3392-T1;GlimmerHMM},{GeneMark_model.3612_t;GeneMark},{Augustus_model.g2794.t1;Augustus},{snap_scaffold_8-snap.83-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 2.04 40753-42646 orient(-) score(5628.00) noncoding_equivalent(2752.50) raw_noncoding(3322.00) offset(569.50) 
40905	40753	terminal-	4	6	{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
41006	40906	INTRON			{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
41071	41007	internal-	5	6	{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
41142	41072	INTRON			{GlimmerHMM_glimmerT_3393-T1;GlimmerHMM},{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
41267	41143	internal-	6	4	{GlimmerHMM_glimmerT_3393-T1;GlimmerHMM},{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
41390	41268	INTRON			{GlimmerHMM_glimmerT_3393-T1;GlimmerHMM},{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
41582	41391	internal-	6	5	{GlimmerHMM_glimmerT_3393-T1;GlimmerHMM},{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
41656	41583	INTRON			{GlimmerHMM_glimmerT_3393-T1;GlimmerHMM},{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
41759	41657	internal-	5	5	{GlimmerHMM_glimmerT_3393-T1;GlimmerHMM},{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
41840	41760	INTRON			{GlimmerHMM_glimmerT_3393-T1;GlimmerHMM},{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
42206	41841	internal-	5	4	{GlimmerHMM_glimmerT_3393-T1;GlimmerHMM},{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
42270	42207	INTRON			{GlimmerHMM_glimmerT_3393-T1;GlimmerHMM},{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}
42646	42271	initial-	4	4	{GlimmerHMM_glimmerT_3393-T1;GlimmerHMM},{Augustus_model.g2795.t1;Augustus},{GeneMark_model.3613_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.71 42743-45100 orient(+) score(6125.00) noncoding_equivalent(3579.27) raw_noncoding(4928.75) offset(1349.48) 
42743	42867	initial+	1	2	{GeneMark_model.3614_t;GeneMark},{Augustus_model.g2796.t1;Augustus}
42868	42931	INTRON			{GeneMark_model.3614_t;GeneMark},{Augustus_model.g2796.t1;Augustus}
42932	43111	internal+	3	2	{GeneMark_model.3614_t;GeneMark},{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{Augustus_model.g2796.t1;Augustus}
43112	43173	INTRON			{GeneMark_model.3614_t;GeneMark},{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{Augustus_model.g2796.t1;Augustus}
43174	43247	internal+	3	1	{GeneMark_model.3614_t;GeneMark},{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{Augustus_model.g2796.t1;Augustus}
43248	43308	INTRON			{GeneMark_model.3614_t;GeneMark},{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{Augustus_model.g2796.t1;Augustus}
43309	43429	internal+	2	2	{GeneMark_model.3614_t;GeneMark},{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{Augustus_model.g2796.t1;Augustus}
43430	43497	INTRON			{GeneMark_model.3614_t;GeneMark},{Augustus_model.g2796.t1;Augustus}
43498	43599	internal+	3	2	{Augustus_model.g2796.t1;Augustus}
43600	43651	INTRON			{Augustus_model.g2796.t1;Augustus}
43652	43786	internal+	3	2	{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{Augustus_model.g2796.t1;Augustus}
43787	43991	INTRON			{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{Augustus_model.g2796.t1;Augustus}
43992	44350	internal+	3	1	{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{Augustus_model.g2796.t1;Augustus}
44351	44412	INTRON			{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{GeneMark_model.3615_t;GeneMark}
44413	44784	internal+	2	1	{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{GeneMark_model.3615_t;GeneMark}
44785	44855	INTRON			{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{GeneMark_model.3615_t;GeneMark},{Augustus_model.g2796.t1;Augustus}
44856	44925	internal+	2	2	{GlimmerHMM_glimmerT_3394-T1;GlimmerHMM},{GeneMark_model.3615_t;GeneMark},{Augustus_model.g2796.t1;Augustus}
44926	45021	INTRON			{GeneMark_model.3615_t;GeneMark},{Augustus_model.g2796.t1;Augustus}
45022	45100	terminal+	3	3	{GeneMark_model.3615_t;GeneMark},{Augustus_model.g2796.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 2.52 45713-47983 orient(-) score(7151.00) noncoding_equivalent(2835.17) raw_noncoding(3693.21) offset(858.05) 
45966	45713	terminal-	5	6	{Augustus_model.g2797.t1;Augustus},{snap_scaffold_8-snap.85-T1;snap}
46052	45967	INTRON			{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
46157	46053	internal-	5	4	{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
46230	46158	INTRON			{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
46321	46231	internal-	4	4	{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
46417	46322	INTRON			{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
46477	46418	internal-	4	6	{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
46548	46478	INTRON			{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
46593	46549	internal-	4	6	{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
46677	46594	INTRON			{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
46986	46678	internal-	4	6	{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
47058	46987	INTRON			{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
47198	47059	internal-	5	6	{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
47275	47199	INTRON			{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
47351	47276	internal-	4	4	{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
47413	47352	INTRON			{GlimmerHMM_glimmerT_3395-T1;GlimmerHMM},{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
47875	47414	internal-	4	6	{Augustus_model.g2797.t1;Augustus}
47944	47876	INTRON			{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}
47983	47945	initial-	4	6	{GeneMark_model.3616_t;GeneMark},{Augustus_model.g2797.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1.68 48147-50710 orient(+) score(6882.00) noncoding_equivalent(4086.86) raw_noncoding(5564.00) offset(1477.14) 
48147	48434	initial+	1	3	{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
48435	48501	INTRON			{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
48502	48670	internal+	1	1	{Augustus_model.g2798.t1;Augustus},{GeneMark_model.3617_t;GeneMark}
48671	48750	INTRON			{Augustus_model.g2798.t1;Augustus},{GeneMark_model.3617_t;GeneMark}
48751	48828	internal+	2	1	{GeneMark_model.3617_t;GeneMark}
48829	48902	INTRON			{GeneMark_model.3617_t;GeneMark}
48903	48925	internal+	2	3	{GeneMark_model.3617_t;GeneMark}
48926	49012	INTRON			{GeneMark_model.3617_t;GeneMark}
49013	49109	internal+	1	1	{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
49110	49210	INTRON			{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
49211	49510	internal+	2	1	{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
49511	49586	INTRON			{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
49587	49768	internal+	2	3	{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
49769	49848	INTRON			{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
49849	49874	internal+	1	2	{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
49875	49965	INTRON			{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
49966	50081	internal+	3	1	{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
50082	50171	INTRON			{Augustus_model.g2798.t1;Augustus},{GeneMark_model.3617_t;GeneMark}
50172	50183	internal+	2	1	{Augustus_model.g2798.t1;Augustus},{GeneMark_model.3617_t;GeneMark}
50184	50273	INTRON			{Augustus_model.g2798.t1;Augustus},{GeneMark_model.3617_t;GeneMark}
50274	50400	internal+	2	2	{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
50401	50514	INTRON			{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}
50515	50710	terminal+	3	3	{Augustus_model.g2798.t1;Augustus},{GlimmerHMM_glimmerT_3396-T1;GlimmerHMM},{GeneMark_model.3617_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.37 51084-53110 orient(+) score(5902.00) noncoding_equivalent(2491.15) raw_noncoding(2801.00) offset(309.85) 
51084	51505	initial+	1	2	{GeneMark_model.3618_t;GeneMark},{GlimmerHMM_glimmerT_3397-T1;GlimmerHMM}
51506	51582	INTRON			{GeneMark_model.3618_t;GeneMark},{GlimmerHMM_glimmerT_3397-T1;GlimmerHMM}
51583	52003	internal+	3	3	{GeneMark_model.3618_t;GeneMark},{GlimmerHMM_glimmerT_3397-T1;GlimmerHMM},{Augustus_model.g2799.t1;Augustus}
52004	52067	INTRON			{GeneMark_model.3618_t;GeneMark},{GlimmerHMM_glimmerT_3397-T1;GlimmerHMM},{Augustus_model.g2799.t1;Augustus}
52068	52807	internal+	1	2	{GeneMark_model.3618_t;GeneMark},{GlimmerHMM_glimmerT_3397-T1;GlimmerHMM},{Augustus_model.g2799.t1;Augustus}
52808	52890	INTRON			{GeneMark_model.3618_t;GeneMark},{GlimmerHMM_glimmerT_3397-T1;GlimmerHMM},{Augustus_model.g2799.t1;Augustus}
52891	53110	terminal+	3	3	{GeneMark_model.3618_t;GeneMark},{GlimmerHMM_glimmerT_3397-T1;GlimmerHMM},{Augustus_model.g2799.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 2.58 53369-54291 orient(-) score(2603.00) noncoding_equivalent(1010.13) raw_noncoding(1666.59) offset(656.47) 
53633	53369	terminal-	6	6	{snap_scaffold_8-snap.87-T1;snap},{GlimmerHMM_glimmerT_3398-T1;GlimmerHMM},{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3619_t;GeneMark}
53695	53634	INTRON			{GlimmerHMM_glimmerT_3398-T1;GlimmerHMM},{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3619_t;GeneMark}
53801	53696	internal-	5	5	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3619_t;GeneMark}
53861	53802	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3619_t;GeneMark}
53904	53862	internal-	4	4	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3619_t;GeneMark}
53967	53905	INTRON			{GlimmerHMM_glimmerT_3398-T1;GlimmerHMM},{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3619_t;GeneMark}
54074	53968	internal-	5	6	{GlimmerHMM_glimmerT_3398-T1;GlimmerHMM},{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3619_t;GeneMark}
54233	54075	INTRON			{GeneMark_model.3619_t;GeneMark}
54291	54234	initial-	4	4	{GeneMark_model.3619_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.10 54552-58774 orient(-) score(13230.00) noncoding_equivalent(4273.57) raw_noncoding(5965.69) offset(1692.12) 
54644	54552	terminal-	4	6	{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
54801	54645	INTRON			{GeneMark_model.3620_t;GeneMark}
54834	54802	internal-	4	6	{GeneMark_model.3620_t;GeneMark}
54908	54835	INTRON			{GeneMark_model.3620_t;GeneMark}
54944	54909	internal-	4	6	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
55015	54945	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
55161	55016	internal-	5	6	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
55228	55162	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
55398	55229	internal-	6	4	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
55472	55399	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
57234	55473	internal-	5	5	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
57298	57235	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
57383	57299	internal-	4	4	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
57441	57384	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
57556	57442	internal-	6	6	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
57626	57557	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
57791	57627	internal-	6	5	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
57877	57792	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
58253	57878	internal-	5	5	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
58315	58254	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
58402	58316	internal-	5	4	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}
58467	58403	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark}
58515	58468	internal-	5	4	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark}
58576	58516	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark}
58642	58577	internal-	5	4	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark}
58761	58643	INTRON			{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark}
58774	58762	initial-	4	4	{Augustus_model.g2800.t1;Augustus},{GeneMark_model.3620_t;GeneMark},{GlimmerHMM_glimmerT_3399-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.35 59721-61389 orient(+) score(5779.00) noncoding_equivalent(1726.53) raw_noncoding(1923.34) offset(196.80) 
59721	59754	initial+	1	1	{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{Augustus_model.g2801.t1;Augustus}
59755	59819	INTRON			{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{snap_scaffold_8-snap.89-T1;snap},{Augustus_model.g2801.t1;Augustus}
59820	60241	internal+	2	3	{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{Augustus_model.g2801.t1;Augustus}
60242	60311	INTRON			{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{Augustus_model.g2801.t1;Augustus}
60312	60394	internal+	1	2	{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{Augustus_model.g2801.t1;Augustus}
60395	60465	INTRON			{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{Augustus_model.g2801.t1;Augustus}
