!! Predictions spanning range 3298 - 109459 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 2.27 3298-5475 orient(+) score(6047.00) noncoding_equivalent(2664.21) raw_noncoding(2664.21) offset(0.00) 
3298	5475	single+	1	3	{GeneMark_model.2189_t;GeneMark}
69567	69634	internal+	1	2	{GlimmerHMM_glimmerT_2051-T1;GlimmerHMM},{GeneMark_model.2213_t;GeneMark}
69635	69710	INTRON			{GlimmerHMM_glimmerT_2051-T1;GlimmerHMM},{GeneMark_model.2213_t;GeneMark}
69711	70011	terminal+	3	3	{GlimmerHMM_glimmerT_2051-T1;GlimmerHMM},{GeneMark_model.2213_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.63 70397-71462 orient(-) score(4974.00) noncoding_equivalent(1370.67) raw_noncoding(2031.00) offset(660.33) 
71087	70397	terminal-	6	6	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark},{snap_scaffold_4-snap.501-T1;snap}
71322	71088	INTRON			{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1879/Target=lcl|PJQD01000036_1_prot_POY73457_1_3424;exonerate},{ev_type:exonerate/ID=match.2566964.1952/Target=lcl|NW_017264930_1_prot_XP_018272818_1_1536;exonerate},{ev_type:exonerate/ID=match.2566964.1913/Target=lcl|KQ954528_1_prot_KWU41696_1_5942;exonerate}
71392	71323	internal-	5	5	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1952/Target=lcl|NW_017264930_1_prot_XP_018272818_1_1536;exonerate},{ev_type:exonerate/ID=match.2566964.1913/Target=lcl|KQ954528_1_prot_KWU41696_1_5942;exonerate}
71455	71393	INTRON			{snap_scaffold_4-snap.501-T1;snap}
71462	71456	initial-	4	4	{snap_scaffold_4-snap.501-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 1.28 73411-75833 orient(-) score(5518.00) noncoding_equivalent(4307.70) raw_noncoding(5591.70) offset(1284.00) 
74061	73411	terminal-	4	6	{snap_scaffold_4-snap.502-T1;snap}
74129	74062	INTRON			{snap_scaffold_4-snap.502-T1;snap},{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
74288	74130	internal-	4	6	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
74360	74289	INTRON			{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
74442	74361	internal-	6	6	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
74501	74443	INTRON			{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
74632	74502	internal-	4	5	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
74698	74633	INTRON			{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
74810	74699	internal-	6	6	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
74875	74811	INTRON			{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
74961	74876	internal-	4	5	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
75036	74962	INTRON			{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
75120	75037	internal-	4	6	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
75194	75121	INTRON			{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
75324	75195	internal-	6	6	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
75426	75325	INTRON			{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
75555	75427	internal-	6	5	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
75648	75556	INTRON			{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}
75833	75649	initial-	4	5	{GlimmerHMM_glimmerT_2052-T1;GlimmerHMM},{GeneMark_model.2214_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.86 76368-77689 orient(-) score(3536.00) noncoding_equivalent(1903.16) raw_noncoding(2453.00) offset(549.84) 
76757	76368	terminal-	4	6	{snap_scaffold_4-snap.503-T1;snap},{GlimmerHMM_glimmerT_2053-T1;GlimmerHMM},{GeneMark_model.2215_t;GeneMark}
76841	76758	INTRON			{GlimmerHMM_glimmerT_2053-T1;GlimmerHMM},{GeneMark_model.2215_t;GeneMark}
76970	76842	internal-	4	6	{GlimmerHMM_glimmerT_2053-T1;GlimmerHMM},{GeneMark_model.2215_t;GeneMark}
77041	76971	INTRON			{GlimmerHMM_glimmerT_2053-T1;GlimmerHMM},{GeneMark_model.2215_t;GeneMark}
77100	77042	internal-	5	6	{GlimmerHMM_glimmerT_2053-T1;GlimmerHMM},{GeneMark_model.2215_t;GeneMark}
77193	77101	INTRON			{GlimmerHMM_glimmerT_2053-T1;GlimmerHMM},{GeneMark_model.2215_t;GeneMark}
77607	77194	internal-	5	4	{GlimmerHMM_glimmerT_2053-T1;GlimmerHMM},{GeneMark_model.2215_t;GeneMark}
77685	77608	INTRON			{GlimmerHMM_glimmerT_2053-T1;GlimmerHMM},{snap_scaffold_4-snap.504-T1;snap},{GeneMark_model.2215_t;GeneMark}
77689	77686	initial-	4	4	{snap_scaffold_4-snap.504-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 1.96 85182-88895 orient(-) score(9660.00) noncoding_equivalent(4926.72) raw_noncoding(5990.87) offset(1064.15) 
85386	85182	terminal-	6	6	{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM},{snap_scaffold_4-snap.505-T1;snap}
85465	85387	INTRON			{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
85641	85466	internal-	4	5	{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
85703	85642	INTRON			{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
86017	85704	internal-	5	6	{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
86072	86018	INTRON			{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
87192	86073	internal-	4	4	{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
87260	87193	INTRON			{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
87360	87261	internal-	6	6	{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
87437	87361	INTRON			{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
87571	87438	internal-	4	5	{GeneMark_model.2218_t;GeneMark}
87632	87572	INTRON			{GeneMark_model.2218_t;GeneMark}
87979	87633	internal-	5	6	{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
88037	87980	INTRON			{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
88776	88038	internal-	4	4	{GeneMark_model.2218_t;GeneMark},{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
88847	88777	INTRON			{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}
88895	88848	initial-	4	6	{GlimmerHMM_glimmerT_2055-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.81 89554-94288 orient(-) score(12141.00) noncoding_equivalent(6694.99) raw_noncoding(7075.00) offset(380.01) 
90855	89554	terminal-	4	6	{GeneMark_model.2219_t;GeneMark},{GlimmerHMM_glimmerT_2056-T1;GlimmerHMM}
90919	90856	INTRON			{GeneMark_model.2219_t;GeneMark},{GlimmerHMM_glimmerT_2056-T1;GlimmerHMM}
92713	90920	internal-	4	6	{GlimmerHMM_glimmerT_2056-T1;GlimmerHMM}
92766	92714	INTRON			{GlimmerHMM_glimmerT_2056-T1;GlimmerHMM}
92869	92767	internal-	6	6	{GeneMark_model.2219_t;GeneMark},{GlimmerHMM_glimmerT_2056-T1;GlimmerHMM}
92939	92870	INTRON			{GeneMark_model.2219_t;GeneMark},{GlimmerHMM_glimmerT_2056-T1;GlimmerHMM}
94288	92940	initial-	4	5	{GeneMark_model.2219_t;GeneMark},{GlimmerHMM_glimmerT_2056-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.32 97254-100950 orient(+) score(8083.00) noncoding_equivalent(6126.71) raw_noncoding(7628.23) offset(1501.52) 
97254	97291	initial+	1	2	{GeneMark_model.2222_t;GeneMark}
97292	97379	INTRON			{GeneMark_model.2222_t;GeneMark}
97380	97443	internal+	3	3	{GeneMark_model.2222_t;GeneMark}
97444	97518	INTRON			{GeneMark_model.2222_t;GeneMark}
97519	97534	internal+	1	1	{GeneMark_model.2222_t;GeneMark}
97535	97599	INTRON			{GeneMark_model.2222_t;GeneMark}
97600	97616	internal+	2	3	{GeneMark_model.2222_t;GeneMark}
97617	97684	INTRON			{GeneMark_model.2222_t;GeneMark}
97685	98337	internal+	1	2	{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}
98338	98401	INTRON			{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}
98402	99521	internal+	3	3	{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}
99522	99591	INTRON			{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}
99592	99826	internal+	1	1	{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}
99827	99883	INTRON			{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}
99884	99930	internal+	2	3	{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}
99931	99992	INTRON			{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}
99993	100453	internal+	1	2	{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}
100454	100523	INTRON			{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}
100524	100950	terminal+	3	3	{GlimmerHMM_glimmerT_2058-T1;GlimmerHMM},{GeneMark_model.2222_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.30 102118-103328 orient(-) score(4036.00) noncoding_equivalent(1753.90) raw_noncoding(2327.00) offset(573.10) 
102544	102118	terminal-	6	6	{GlimmerHMM_glimmerT_2059-T1;GlimmerHMM},{GeneMark_model.2223_t;GeneMark}
102606	102545	INTRON			{GlimmerHMM_glimmerT_2059-T1;GlimmerHMM},{GeneMark_model.2223_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1912/Target=lcl|PJQD01000036_1_prot_POY73444_1_3411;exonerate}
102703	102607	internal-	5	5	{GlimmerHMM_glimmerT_2059-T1;GlimmerHMM},{GeneMark_model.2223_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1912/Target=lcl|PJQD01000036_1_prot_POY73444_1_3411;exonerate}
102903	102704	INTRON			{GlimmerHMM_glimmerT_2059-T1;GlimmerHMM},{GeneMark_model.2223_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1912/Target=lcl|PJQD01000036_1_prot_POY73444_1_3411;exonerate}
103024	102904	internal-	4	4	{GlimmerHMM_glimmerT_2059-T1;GlimmerHMM},{GeneMark_model.2223_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1912/Target=lcl|PJQD01000036_1_prot_POY73444_1_3411;exonerate}
103094	103025	INTRON			{GlimmerHMM_glimmerT_2059-T1;GlimmerHMM},{GeneMark_model.2223_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1912/Target=lcl|PJQD01000036_1_prot_POY73444_1_3411;exonerate}
103328	103095	initial-	4	6	{GlimmerHMM_glimmerT_2059-T1;GlimmerHMM},{GeneMark_model.2223_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.71 106081-109459 orient(+) score(12267.00) noncoding_equivalent(4526.68) raw_noncoding(5494.00) offset(967.32) 
106081	106203	initial+	1	3	{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark}
106204	106472	INTRON			{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1759/Target=lcl|KQ954528_1_prot_KWU41684_1_5930;exonerate}
106473	106565	internal+	1	3	{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1759/Target=lcl|KQ954528_1_prot_KWU41684_1_5930;exonerate}
106566	106634	INTRON			{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1759/Target=lcl|KQ954528_1_prot_KWU41684_1_5930;exonerate}
106635	107004	internal+	1	1	{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1759/Target=lcl|KQ954528_1_prot_KWU41684_1_5930;exonerate}
107005	107081	INTRON			{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1759/Target=lcl|KQ954528_1_prot_KWU41684_1_5930;exonerate}
107082	108737	internal+	2	1	{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1759/Target=lcl|KQ954528_1_prot_KWU41684_1_5930;exonerate}
108738	108804	INTRON			{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1759/Target=lcl|KQ954528_1_prot_KWU41684_1_5930;exonerate}
108805	109282	internal+	2	2	{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark}
109283	109347	INTRON			{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1759/Target=lcl|KQ954528_1_prot_KWU41684_1_5930;exonerate}
109348	109459	terminal+	3	3	{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM},{GeneMark_model.2225_t;GeneMark}

