# EVM prediction: Mode:STANDARD S-ratio: 2.26 323-619 orient(-) score(821.00) noncoding_equivalent(364.08) raw_noncoding(364.08) offset(0.00)
619	323	single-	4	6	{Augustus_model.g3389.t1;Augustus}
133211	133120	initial-	4	5	{GeneMark_model.4386_t;GeneMark},{HiQ_model.g3431.t1;HiQ},{GlimmerHMM_glimmerT_4113-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 5.12 134466-138237 orient(+) score(14425.00) noncoding_equivalent(2817.40) raw_noncoding(3289.00) offset(471.60)
134466	135059	initial+	1	3	{GlimmerHMM_glimmerT_4114-T1;GlimmerHMM},{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark}
135060	135235	INTRON			{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark}
135236	136882	internal+	1	3	{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark}
136883	136971	INTRON			{GlimmerHMM_glimmerT_4114-T1;GlimmerHMM},{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3839/Target=lcl|KQ954479_1_prot_KWU44492_1_3249;exonerate}
136972	137128	internal+	1	1	{GlimmerHMM_glimmerT_4114-T1;GlimmerHMM},{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3839/Target=lcl|KQ954479_1_prot_KWU44492_1_3249;exonerate}
137129	137202	INTRON			{GlimmerHMM_glimmerT_4114-T1;GlimmerHMM},{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3839/Target=lcl|KQ954479_1_prot_KWU44492_1_3249;exonerate}
137203	137633	internal+	2	3	{GlimmerHMM_glimmerT_4114-T1;GlimmerHMM},{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3839/Target=lcl|KQ954479_1_prot_KWU44492_1_3249;exonerate}
137634	137697	INTRON			{GlimmerHMM_glimmerT_4114-T1;GlimmerHMM},{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3839/Target=lcl|KQ954479_1_prot_KWU44492_1_3249;exonerate}
137698	137947	internal+	1	1	{GlimmerHMM_glimmerT_4114-T1;GlimmerHMM},{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3839/Target=lcl|KQ954479_1_prot_KWU44492_1_3249;exonerate}
137948	138019	INTRON			{GlimmerHMM_glimmerT_4114-T1;GlimmerHMM},{snap_scaffold_10-snap.50-T1;snap},{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3839/Target=lcl|KQ954479_1_prot_KWU44492_1_3249;exonerate}
138020	138237	terminal+	2	3	{GlimmerHMM_glimmerT_4114-T1;GlimmerHMM},{snap_scaffold_10-snap.50-T1;snap},{Augustus_model.g3432.t1;Augustus},{GeneMark_model.4387_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.32 138825-139683 orient(-) score(3052.00) noncoding_equivalent(707.04) raw_noncoding(859.00) offset(151.96)
139121	138825	terminal-	4	6	{GeneMark_model.4388_t;GeneMark},{Augustus_model.g3433.t1;Augustus},{GlimmerHMM_glimmerT_4115-T1;GlimmerHMM}
139222	139122	INTRON			{GeneMark_model.4388_t;GeneMark},{Augustus_model.g3433.t1;Augustus},{GlimmerHMM_glimmerT_4115-T1;GlimmerHMM}
139445	139223	internal-	6	6	{GeneMark_model.4388_t;GeneMark},{Augustus_model.g3433.t1;Augustus},{GlimmerHMM_glimmerT_4115-T1;GlimmerHMM}
139510	139446	INTRON			{GeneMark_model.4388_t;GeneMark},{Augustus_model.g3433.t1;Augustus},{GlimmerHMM_glimmerT_4115-T1;GlimmerHMM}
139683	139511	initial-	4	5	{GeneMark_model.4388_t;GeneMark},{Augustus_model.g3433.t1;Augustus},{GlimmerHMM_glimmerT_4115-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.60 139983-141424 orient(+) score(6006.00) noncoding_equivalent(1668.35) raw_noncoding(2066.00) offset(397.65)
139983	140203	initial+	1	2	{GeneMark_model.4389_t;GeneMark},{Augustus_model.g3434.t1;Augustus}
140204	140277	INTRON			{GeneMark_model.4389_t;GeneMark},{Augustus_model.g3434.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3742/Target=lcl|PJQD01000148_1_prot_POY70078_1_1133;exonerate}
140278	140344	internal+	3	3	{GeneMark_model.4389_t;GeneMark},{GlimmerHMM_glimmerT_4116-T1;GlimmerHMM},{Augustus_model.g3434.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3742/Target=lcl|PJQD01000148_1_prot_POY70078_1_1133;exonerate}
140345	140407	INTRON			{GeneMark_model.4389_t;GeneMark},{GlimmerHMM_glimmerT_4116-T1;GlimmerHMM},{Augustus_model.g3434.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3742/Target=lcl|PJQD01000148_1_prot_POY70078_1_1133;exonerate}
140408	140569	internal+	1	3	{GeneMark_model.4389_t;GeneMark},{GlimmerHMM_glimmerT_4116-T1;GlimmerHMM},{Augustus_model.g3434.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3742/Target=lcl|PJQD01000148_1_prot_POY70078_1_1133;exonerate}
140570	140633	INTRON			{GeneMark_model.4389_t;GeneMark},{GlimmerHMM_glimmerT_4116-T1;GlimmerHMM},{Augustus_model.g3434.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3742/Target=lcl|PJQD01000148_1_prot_POY70078_1_1133;exonerate}
140634	140710	internal+	1	2	{GeneMark_model.4389_t;GeneMark},{GlimmerHMM_glimmerT_4116-T1;GlimmerHMM},{Augustus_model.g3434.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3742/Target=lcl|PJQD01000148_1_prot_POY70078_1_1133;exonerate}
140711	140768	INTRON			{GeneMark_model.4389_t;GeneMark},{GlimmerHMM_glimmerT_4116-T1;GlimmerHMM},{Augustus_model.g3434.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3742/Target=lcl|PJQD01000148_1_prot_POY70078_1_1133;exonerate}
140769	141111	internal+	3	3	{GeneMark_model.4389_t;GeneMark},{GlimmerHMM_glimmerT_4116-T1;GlimmerHMM},{Augustus_model.g3434.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3742/Target=lcl|PJQD01000148_1_prot_POY70078_1_1133;exonerate}
141112	141175	INTRON			{GeneMark_model.4389_t;GeneMark},{GlimmerHMM_glimmerT_4116-T1;GlimmerHMM},{Augustus_model.g3434.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3742/Target=lcl|PJQD01000148_1_prot_POY70078_1_1133;exonerate}
141176	141424	terminal+	1	3	{GeneMark_model.4389_t;GeneMark},{GlimmerHMM_glimmerT_4116-T1;GlimmerHMM},{Augustus_model.g3434.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1.62 141780-147456 orient(+) score(14859.00) noncoding_equivalent(9167.50) raw_noncoding(12070.00) offset(2902.50)
141780	141862	initial+	1	2	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
141863	142036	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
142037	142043	internal+	3	3	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
142044	142113	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
142114	142166	internal+	1	2	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
142167	142230	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
142231	142303	internal+	3	3	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
142304	142375	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
142376	143356	internal+	1	3	{GeneMark_model.4390_t;GeneMark}
143357	143426	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
143427	143434	internal+	1	2	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
143435	143497	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
143498	143599	internal+	3	2	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
143600	143668	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
143669	143747	internal+	3	3	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
143748	143806	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
143807	144183	internal+	1	2	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
144184	144251	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
144252	144320	internal+	3	2	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
144321	144387	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
144388	144409	internal+	3	3	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
144410	144474	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
144475	144577	internal+	1	1	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
144578	144664	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
144665	144741	internal+	2	3	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
144742	144801	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
144802	144933	internal+	1	3	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
144934	144991	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
144992	145058	internal+	1	1	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145059	145114	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145115	145240	internal+	2	1	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145241	145301	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145302	145349	internal+	2	1	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145350	145408	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145409	145564	internal+	2	1	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145565	145630	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145631	145809	internal+	2	3	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145810	145872	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145873	145954	internal+	1	1	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
145955	146015	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
146016	146163	internal+	2	2	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
146164	146228	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
146229	146296	internal+	3	1	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
146297	146362	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
146363	146407	internal+	2	1	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
146408	146479	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus}
146480	146552	internal+	2	2	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
146553	146614	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
146615	146735	internal+	3	3	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
146736	146803	INTRON			{GeneMark_model.4390_t;GeneMark}
146804	146857	internal+	1	3	{GeneMark_model.4390_t;GeneMark}
146858	146918	INTRON			{GeneMark_model.4390_t;GeneMark}
146919	147137	internal+	1	3	{GeneMark_model.4390_t;GeneMark},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM}
147138	147195	INTRON			{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM},{snap_scaffold_10-snap.56-T1;snap}
147196	147456	terminal+	1	3	{GeneMark_model.4390_t;GeneMark},{Augustus_model.g3435.t1;Augustus},{GlimmerHMM_glimmerT_4118-T1;GlimmerHMM},{snap_scaffold_10-snap.56-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 2.78 147719-150184 orient(-) score(7923.00) noncoding_equivalent(2854.27) raw_noncoding(3585.00) offset(730.73)
147916	147719	terminal-	4	6	{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
148008	147917	INTRON			{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
148341	148009	internal-	4	6	{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
148471	148342	INTRON			{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
148666	148472	internal-	4	6	{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
148785	148667	INTRON			{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
148850	148786	internal-	5	6	{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
148915	148851	INTRON			{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
149245	148916	internal-	5	4	{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
149314	149246	INTRON			{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
149727	149315	internal-	6	4	{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
149803	149728	INTRON			{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
150022	149804	internal-	6	5	{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
150125	150023	INTRON			{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}
150184	150126	initial-	4	5	{GlimmerHMM_glimmerT_4119-T1;GlimmerHMM},{Augustus_model.g3436.t1;Augustus},{GeneMark_model.4391_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.82 150590-151167 orient(-) score(1826.00) noncoding_equivalent(1002.36) raw_noncoding(1632.49) offset(630.13)
150613	150590	terminal-	4	6	{Augustus_model.g3437.t1;Augustus},{GeneMark_model.4392_t;GeneMark}
150698	150614	INTRON			{Augustus_model.g3437.t1;Augustus},{GeneMark_model.4392_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3844/Target=lcl|PJQD01000070_1_prot_POY71907_1_5441;exonerate}
150753	150699	internal-	6	6	{Augustus_model.g3437.t1;Augustus},{GeneMark_model.4392_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3844/Target=lcl|PJQD01000070_1_prot_POY71907_1_5441;exonerate}
150828	150754	INTRON			{Augustus_model.g3437.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3844/Target=lcl|PJQD01000070_1_prot_POY71907_1_5441;exonerate}
150921	150829	internal-	6	5	{Augustus_model.g3437.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3844/Target=lcl|PJQD01000070_1_prot_POY71907_1_5441;exonerate}
151007	150922	INTRON			{Augustus_model.g3437.t1;Augustus},{GlimmerHMM_glimmerT_4120-T1;GlimmerHMM},{GeneMark_model.4392_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3844/Target=lcl|PJQD01000070_1_prot_POY71907_1_5441;exonerate}
151090	151008	internal-	4	5	{Augustus_model.g3437.t1;Augustus},{GlimmerHMM_glimmerT_4120-T1;GlimmerHMM},{GeneMark_model.4392_t;GeneMark}
151164	151091	INTRON			{Augustus_model.g3437.t1;Augustus},{GeneMark_model.4392_t;GeneMark}
151167	151165	initial-	4	6	{GeneMark_model.4392_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.85 153135-153810 orient(-) score(1754.00) noncoding_equivalent(948.78) raw_noncoding(1177.24) offset(228.46)
153240	153135	terminal-	6	6	{GlimmerHMM_glimmerT_4122-T1;GlimmerHMM},{Augustus_model.g3438.t1;Augustus},{GeneMark_model.4394_t;GeneMark}
153316	153241	INTRON			{GlimmerHMM_glimmerT_4122-T1;GlimmerHMM},{Augustus_model.g3438.t1;Augustus},{GeneMark_model.4394_t;GeneMark}
153611	153317	internal-	5	5	{Augustus_model.g3438.t1;Augustus},{GeneMark_model.4394_t;GeneMark}
153686	153612	INTRON			{GeneMark_model.4394_t;GeneMark}
153810	153687	initial-	4	4	{GeneMark_model.4394_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.46 155144-158780 orient(+) score(11636.00) noncoding_equivalent(4726.37) raw_noncoding(5334.23) offset(607.86)
155144	155637	initial+	1	2	{GeneMark_model.4395_t;GeneMark},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
155638	155708	INTRON			{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
155709	155790	internal+	3	3	{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
155791	155856	INTRON			{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
155857	156063	internal+	1	3	{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
156064	156145	INTRON			{snap_scaffold_10-snap.58-T1;snap},{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
156146	156428	internal+	1	1	{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
156429	156494	INTRON			{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
156495	156507	internal+	2	2	{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
156508	156575	INTRON			{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
156576	156891	internal+	3	3	{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
156892	156955	INTRON			{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
156956	157227	internal+	1	2	{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
157228	157403	INTRON			{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
157404	157640	internal+	3	2	{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
157641	157705	INTRON			{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
157706	157852	internal+	3	2	{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
157853	157918	INTRON			{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
157919	158240	internal+	3	3	{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
158241	158306	INTRON			{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
158307	158421	internal+	1	1	{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
158422	158481	INTRON			{GeneMark_model.4395_t;GeneMark},{Augustus_model.g3439.t1;Augustus},{GlimmerHMM_glimmerT_4123-T1;GlimmerHMM}
158482	158780	terminal+	2	3	{GeneMark_model.4395_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 7.12 160266-161329 orient(+) score(3575.00) noncoding_equivalent(502.32) raw_noncoding(854.00) offset(351.68)
160266	160694	initial+	1	3	{GlimmerHMM_glimmerT_4124-T1;GlimmerHMM},{GeneMark_model.4396_t;GeneMark},{Augustus_model.g3440.t1;Augustus}
160695	160769	INTRON			{GeneMark_model.4396_t;GeneMark},{Augustus_model.g3440.t1;Augustus}
160770	160859	internal+	1	3	{GeneMark_model.4396_t;GeneMark},{Augustus_model.g3440.t1;Augustus}
160860	160948	INTRON			{GeneMark_model.4396_t;GeneMark}
160949	161329	terminal+	1	3	{GlimmerHMM_glimmerT_4124-T1;GlimmerHMM},{GeneMark_model.4396_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.97 161597-164063 orient(-) score(9006.00) noncoding_equivalent(3034.85) raw_noncoding(4089.84) offset(1055.00)
161988	161597	terminal-	5	6	{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{snap_scaffold_10-snap.63-T1;snap},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus}
162052	161989	INTRON			{Augustus_model.g3441.t1;Augustus}
162143	162053	internal-	4	4	{Augustus_model.g3441.t1;Augustus}
162213	162144	INTRON			{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus}
162240	162214	internal-	4	6	{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus}
162306	162241	INTRON			{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus}
162381	162307	internal-	4	6	{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus}
162461	162382	INTRON			{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1958/Target=lcl|KQ954552_1_prot_KWU41189_1_6441;exonerate}
162576	162462	internal-	6	6	{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1958/Target=lcl|KQ954552_1_prot_KWU41189_1_6441;exonerate}
162644	162577	INTRON			{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1958/Target=lcl|KQ954552_1_prot_KWU41189_1_6441;exonerate}
162673	162645	internal-	4	5	{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus}
162740	162674	INTRON			{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus}
162751	162741	internal-	5	6	{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus}
162813	162752	INTRON			{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus}
163224	162814	internal-	5	4	{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus}
163294	163225	INTRON			{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1958/Target=lcl|KQ954552_1_prot_KWU41189_1_6441;exonerate}
163387	163295	internal-	5	4	{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1958/Target=lcl|KQ954552_1_prot_KWU41189_1_6441;exonerate}
163462	163388	INTRON			{GlimmerHMM_glimmerT_4125-T1;GlimmerHMM},{GeneMark_model.4397_t;GeneMark},{Augustus_model.g3441.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1958/Target=lcl|KQ954552_1_prot_KWU41189_1_6441;exonerate}
