!! Predictions spanning range 707 - 104571 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 14.19 707-2404 orient(-) score(6345.00) noncoding_equivalent(447.00) raw_noncoding(447.00) offset(0.00) 
2404	707	single-	4	6	{GlimmerHMM_glimmerT_1122-T1;GlimmerHMM}
36577	36647	INTRON			{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark},{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM}
36648	36769	terminal+	2	3	{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark},{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.09 37037-38673 orient(-) score(5396.00) noncoding_equivalent(1744.00) raw_noncoding(1928.00) offset(184.00) 
37567	37037	terminal-	4	6	{snap_scaffold_3-snap.14-T1;snap},{GeneMark_model.1229_t;GeneMark},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM}
37635	37568	INTRON			{snap_scaffold_3-snap.14-T1;snap},{Augustus_model.g927.t1;Augustus},{GeneMark_model.1229_t;GeneMark},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM}
38046	37636	internal-	4	6	{Augustus_model.g927.t1;Augustus},{GeneMark_model.1229_t;GeneMark},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM}
38154	38047	INTRON			{Augustus_model.g927.t1;Augustus},{GeneMark_model.1229_t;GeneMark},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM}
38366	38155	internal-	5	6	{Augustus_model.g927.t1;Augustus},{GeneMark_model.1229_t;GeneMark},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM}
38426	38367	INTRON			{Augustus_model.g927.t1;Augustus},{GeneMark_model.1229_t;GeneMark},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM}
38673	38427	initial-	4	4	{GeneMark_model.1229_t;GeneMark},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.73 38725-39383 orient(-) score(1758.00) noncoding_equivalent(1014.82) raw_noncoding(1355.00) offset(340.18) 
38789	38725	terminal-	5	6	{GlimmerHMM_glimmerT_1134-T1;GlimmerHMM},{Augustus_model.g928.t1;Augustus},{GeneMark_model.1230_t;GeneMark}
38860	38790	INTRON			{GlimmerHMM_glimmerT_1134-T1;GlimmerHMM},{Augustus_model.g928.t1;Augustus},{GeneMark_model.1230_t;GeneMark}
39005	38861	internal-	4	4	{GlimmerHMM_glimmerT_1134-T1;GlimmerHMM},{Augustus_model.g928.t1;Augustus},{GeneMark_model.1230_t;GeneMark}
39072	39006	INTRON			{Augustus_model.g928.t1;Augustus},{GeneMark_model.1230_t;GeneMark}
39159	39073	internal-	4	6	{Augustus_model.g928.t1;Augustus},{GeneMark_model.1230_t;GeneMark}
39224	39160	INTRON			{Augustus_model.g928.t1;Augustus},{GeneMark_model.1230_t;GeneMark}
39383	39225	initial-	4	6	{GlimmerHMM_glimmerT_1134-T1;GlimmerHMM},{Augustus_model.g928.t1;Augustus},{GeneMark_model.1230_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.08 39844-42154 orient(-) score(7739.00) noncoding_equivalent(1899.07) raw_noncoding(2233.00) offset(333.93) 
40371	39844	terminal-	4	6	{GeneMark_model.1231_t;GeneMark},{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{Augustus_model.g929.t1;Augustus}
40442	40372	INTRON			{GeneMark_model.1231_t;GeneMark},{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{Augustus_model.g929.t1;Augustus}
40841	40443	internal-	4	6	{GeneMark_model.1231_t;GeneMark},{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{Augustus_model.g929.t1;Augustus}
40904	40842	INTRON			{GeneMark_model.1231_t;GeneMark},{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{Augustus_model.g929.t1;Augustus}
41551	40905	internal-	5	6	{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{Augustus_model.g929.t1;Augustus}
41623	41552	INTRON			{GeneMark_model.1231_t;GeneMark},{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{Augustus_model.g929.t1;Augustus}
41798	41624	internal-	4	4	{GeneMark_model.1231_t;GeneMark},{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{Augustus_model.g929.t1;Augustus}
41856	41799	INTRON			{GeneMark_model.1231_t;GeneMark},{Augustus_model.g929.t1;Augustus}
41928	41857	internal-	4	6	{GeneMark_model.1231_t;GeneMark},{Augustus_model.g929.t1;Augustus}
41992	41929	INTRON			{GeneMark_model.1231_t;GeneMark},{Augustus_model.g929.t1;Augustus}
42154	41993	initial-	4	6	{GeneMark_model.1231_t;GeneMark},{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{Augustus_model.g929.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1.95 42587-44513 orient(-) score(5091.00) noncoding_equivalent(2614.89) raw_noncoding(2962.00) offset(347.11) 
43078	42587	terminal-	4	6	{GlimmerHMM_glimmerT_1136-T1;GlimmerHMM},{GeneMark_model.1232_t;GeneMark}
43140	43079	INTRON			{GlimmerHMM_glimmerT_1136-T1;GlimmerHMM},{GeneMark_model.1232_t;GeneMark}
43596	43141	internal-	4	6	{GeneMark_model.1232_t;GeneMark}
43654	43597	INTRON			{GeneMark_model.1232_t;GeneMark}
44386	43655	internal-	4	6	{GlimmerHMM_glimmerT_1136-T1;GlimmerHMM},{GeneMark_model.1232_t;GeneMark}
44444	44387	INTRON			{GlimmerHMM_glimmerT_1136-T1;GlimmerHMM},{GeneMark_model.1232_t;GeneMark},{Augustus_model.g930.t1;Augustus}
44513	44445	initial-	4	6	{GlimmerHMM_glimmerT_1136-T1;GlimmerHMM},{GeneMark_model.1232_t;GeneMark},{Augustus_model.g930.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1.48 44873-46024 orient(-) score(2707.00) noncoding_equivalent(1826.18) raw_noncoding(2745.00) offset(918.82) 
45145	44873	terminal-	4	6	{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{Augustus_model.g931.t1;Augustus},{GeneMark_model.1233_t;GeneMark}
45213	45146	INTRON			{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{Augustus_model.g931.t1;Augustus},{GeneMark_model.1233_t;GeneMark}
45307	45214	internal-	6	6	{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{Augustus_model.g931.t1;Augustus},{GeneMark_model.1233_t;GeneMark}
45375	45308	INTRON			{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{Augustus_model.g931.t1;Augustus},{GeneMark_model.1233_t;GeneMark}
45652	45376	internal-	5	5	{GeneMark_model.1233_t;GeneMark}
45887	45653	INTRON			{GeneMark_model.1233_t;GeneMark}
45925	45888	internal-	6	4	{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{Augustus_model.g931.t1;Augustus},{GeneMark_model.1233_t;GeneMark}
45992	45926	INTRON			{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{Augustus_model.g931.t1;Augustus},{GeneMark_model.1233_t;GeneMark}
46024	45993	initial-	4	5	{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{GeneMark_model.1233_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.52 46846-48439 orient(-) score(5049.00) noncoding_equivalent(2004.72) raw_noncoding(2460.23) offset(455.51) 
47009	46846	terminal-	5	6	{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}
47089	47010	INTRON			{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark},{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}
47199	47090	internal-	6	4	{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark},{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}
47258	47200	INTRON			{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark},{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}
47355	47259	internal-	5	5	{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark},{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}
47435	47356	INTRON			{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark},{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}
47652	47436	internal-	4	4	{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark},{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}
47720	47653	INTRON			{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark},{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}
47953	47721	internal-	5	6	{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark},{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}
48018	47954	INTRON			{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark},{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}
48065	48019	internal-	6	4	{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark}
48140	48066	INTRON			{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark}
48439	48141	initial-	4	5	{Augustus_model.g931.t1;Augustus},{GeneMark_model.1234_t;GeneMark},{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 12.29 49182-50365 orient(+) score(4523.00) noncoding_equivalent(367.94) raw_noncoding(449.00) offset(81.06) 
49182	49320	initial+	1	1	{Augustus_model.g932.t1;Augustus}
49321	49400	INTRON			{Augustus_model.g932.t1;Augustus},{GlimmerHMM_glimmerT_1139-T1;GlimmerHMM},{GeneMark_model.1235_t;GeneMark}
49401	50365	terminal+	2	3	{Augustus_model.g932.t1;Augustus},{GlimmerHMM_glimmerT_1139-T1;GlimmerHMM},{GeneMark_model.1235_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 5.17 50738-58083 orient(+) score(25755.00) noncoding_equivalent(4976.82) raw_noncoding(5831.00) offset(854.18) 
50738	50803	initial+	1	3	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
50804	50869	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
50870	51078	internal+	1	2	{GeneMark_model.1236_t;GeneMark}
51079	51142	INTRON			{GeneMark_model.1236_t;GeneMark}
51143	51197	internal+	3	3	{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
51198	51264	INTRON			{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
51265	51342	internal+	1	3	{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
51343	51406	INTRON			{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
51407	51486	internal+	1	2	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
51487	51549	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
51550	51899	internal+	3	1	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
51900	51956	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
51957	52366	internal+	2	3	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
52367	52437	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
52438	53337	internal+	1	3	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
53338	53398	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
53399	55576	internal+	1	3	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
55577	55637	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
55638	56794	internal+	1	2	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{GeneMark_model.1236_t;GeneMark}
56795	56859	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
56860	56959	internal+	3	3	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
56960	57022	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{snap_scaffold_3-snap.22-T1;snap},{GeneMark_model.1236_t;GeneMark}
57023	57556	internal+	1	3	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
57557	57619	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
57620	57684	internal+	1	2	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
57685	57750	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
57751	57863	internal+	3	1	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
57864	57928	INTRON			{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}
57929	58083	terminal+	2	3	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g933.t1;Augustus},{GeneMark_model.1236_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.27 59788-60870 orient(-) score(4867.00) noncoding_equivalent(2147.87) raw_noncoding(3022.04) offset(874.17) 
59796	59788	terminal-	4	6	{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark}
59894	59797	INTRON			{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark}
59939	59895	internal-	4	6	{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark}
60148	59940	INTRON			{GlimmerHMM_glimmerT_1141-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1706/Target=lcl|PJQD01000002_1_prot_POY76730_1_1887;exonerate},{ev_type:exonerate/ID=match.2566964.1705/Target=lcl|KQ954467_1_prot_KWU46320_1_1035;exonerate}
60238	60149	internal-	4	6	{GlimmerHMM_glimmerT_1141-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1706/Target=lcl|PJQD01000002_1_prot_POY76730_1_1887;exonerate},{ev_type:exonerate/ID=match.2566964.1705/Target=lcl|KQ954467_1_prot_KWU46320_1_1035;exonerate}
60318	60239	INTRON			{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1706/Target=lcl|PJQD01000002_1_prot_POY76730_1_1887;exonerate},{ev_type:exonerate/ID=match.2566964.1705/Target=lcl|KQ954467_1_prot_KWU46320_1_1035;exonerate}
60406	60319	internal-	6	6	{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1706/Target=lcl|PJQD01000002_1_prot_POY76730_1_1887;exonerate},{ev_type:exonerate/ID=match.2566964.1705/Target=lcl|KQ954467_1_prot_KWU46320_1_1035;exonerate}
60494	60407	INTRON			{GlimmerHMM_glimmerT_1141-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1706/Target=lcl|PJQD01000002_1_prot_POY76730_1_1887;exonerate},{ev_type:exonerate/ID=match.2566964.1705/Target=lcl|KQ954467_1_prot_KWU46320_1_1035;exonerate}
60558	60495	internal-	5	5	{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1706/Target=lcl|PJQD01000002_1_prot_POY76730_1_1887;exonerate},{ev_type:exonerate/ID=match.2566964.1705/Target=lcl|KQ954467_1_prot_KWU46320_1_1035;exonerate}
60648	60559	INTRON			{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1706/Target=lcl|PJQD01000002_1_prot_POY76730_1_1887;exonerate},{ev_type:exonerate/ID=match.2566964.1705/Target=lcl|KQ954467_1_prot_KWU46320_1_1035;exonerate}
60680	60649	internal-	6	4	{GlimmerHMM_glimmerT_1141-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1706/Target=lcl|PJQD01000002_1_prot_POY76730_1_1887;exonerate},{ev_type:exonerate/ID=match.2566964.1705/Target=lcl|KQ954467_1_prot_KWU46320_1_1035;exonerate}
60757	60681	INTRON			{GlimmerHMM_glimmerT_1141-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1237_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1706/Target=lcl|PJQD01000002_1_prot_POY76730_1_1887;exonerate},{ev_type:exonerate/ID=match.2566964.1705/Target=lcl|KQ954467_1_prot_KWU46320_1_1035;exonerate}
60870	60758	initial-	4	5	{GlimmerHMM_glimmerT_1141-T1;GlimmerHMM},{GeneMark_model.1237_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.42 61364-63224 orient(-) score(5777.00) noncoding_equivalent(2385.75) raw_noncoding(2893.16) offset(507.41) 
61670	61364	terminal-	6	6	{snap_scaffold_3-snap.23-T1;snap},{GlimmerHMM_glimmerT_1142-T1;GlimmerHMM},{GeneMark_model.1238_t;GeneMark}
61756	61671	INTRON			{GlimmerHMM_glimmerT_1142-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1238_t;GeneMark}
62110	61757	internal-	6	5	{GlimmerHMM_glimmerT_1142-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1238_t;GeneMark}
62232	62111	INTRON			{GlimmerHMM_glimmerT_1142-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1238_t;GeneMark}
62293	62233	internal-	5	5	{GlimmerHMM_glimmerT_1142-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1238_t;GeneMark}
62391	62294	INTRON			{GlimmerHMM_glimmerT_1142-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1238_t;GeneMark}
62536	62392	internal-	4	4	{Augustus_model.g934.t1;Augustus},{GeneMark_model.1238_t;GeneMark}
62612	62537	INTRON			{Augustus_model.g934.t1;Augustus},{GeneMark_model.1238_t;GeneMark}
62665	62613	internal-	5	6	{GlimmerHMM_glimmerT_1142-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1238_t;GeneMark}
62728	62666	INTRON			{GlimmerHMM_glimmerT_1142-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1238_t;GeneMark}
63224	62729	initial-	4	4	{GlimmerHMM_glimmerT_1142-T1;GlimmerHMM},{Augustus_model.g934.t1;Augustus},{GeneMark_model.1238_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.35 63567-66065 orient(+) score(7677.00) noncoding_equivalent(3260.20) raw_noncoding(3798.00) offset(537.80) 
63567	63577	initial+	1	2	{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
63578	63647	INTRON			{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
63648	64014	internal+	3	3	{GeneMark_model.1239_t;GeneMark}
64015	64072	INTRON			{GeneMark_model.1239_t;GeneMark}
64073	64160	internal+	1	1	{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
64161	64223	INTRON			{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
64224	64395	internal+	2	2	{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
64396	64463	INTRON			{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{snap_scaffold_3-snap.24-T1;snap},{Augustus_model.g935.t1;Augustus}
64464	64770	internal+	3	3	{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
64771	64842	INTRON			{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
64843	65095	internal+	1	1	{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
65096	65165	INTRON			{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
65166	65249	internal+	2	1	{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
65250	65311	INTRON			{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
65312	65418	internal+	2	3	{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
65419	65489	INTRON			{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}
65490	66065	terminal+	1	3	{GlimmerHMM_glimmerT_1143-T1;GlimmerHMM},{GeneMark_model.1239_t;GeneMark},{Augustus_model.g935.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 4.27 66621-67843 orient(+) score(4058.00) noncoding_equivalent(949.24) raw_noncoding(1256.00) offset(306.76) 
66621	66752	initial+	1	3	{GlimmerHMM_glimmerT_1144-T1;GlimmerHMM},{GeneMark_model.1240_t;GeneMark},{Augustus_model.g936.t1;Augustus}
66753	66812	INTRON			{GlimmerHMM_glimmerT_1144-T1;GlimmerHMM},{GeneMark_model.1240_t;GeneMark},{Augustus_model.g936.t1;Augustus}
66813	67054	internal+	1	2	{GlimmerHMM_glimmerT_1144-T1;GlimmerHMM},{GeneMark_model.1240_t;GeneMark},{Augustus_model.g936.t1;Augustus}
67055	67115	INTRON			{GeneMark_model.1240_t;GeneMark},{Augustus_model.g936.t1;Augustus}
67116	67193	internal+	3	2	{GeneMark_model.1240_t;GeneMark},{Augustus_model.g936.t1;Augustus}
67194	67257	INTRON			{GeneMark_model.1240_t;GeneMark},{Augustus_model.g936.t1;Augustus}
67258	67843	terminal+	3	3	{GlimmerHMM_glimmerT_1144-T1;GlimmerHMM},{snap_scaffold_3-snap.25-T1;snap},{GeneMark_model.1240_t;GeneMark},{Augustus_model.g936.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 2.34 68144-69910 orient(-) score(5425.00) noncoding_equivalent(2314.78) raw_noncoding(3165.00) offset(850.22) 
68176	68144	terminal-	4	6	{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
68257	68177	INTRON			{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
68529	68258	internal-	5	6	{GeneMark_model.1241_t;GeneMark},{Augustus_model.g937.t1;Augustus}
68601	68530	INTRON			{GeneMark_model.1241_t;GeneMark},{Augustus_model.g937.t1;Augustus}
68630	68602	internal-	6	4	{GeneMark_model.1241_t;GeneMark},{Augustus_model.g937.t1;Augustus}
68692	68631	INTRON			{GeneMark_model.1241_t;GeneMark},{Augustus_model.g937.t1;Augustus}
68825	68693	internal-	5	5	{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
68905	68826	INTRON			{GeneMark_model.1241_t;GeneMark},{Augustus_model.g937.t1;Augustus}
68926	68906	internal-	5	4	{GeneMark_model.1241_t;GeneMark},{Augustus_model.g937.t1;Augustus}
68994	68927	INTRON			{GeneMark_model.1241_t;GeneMark},{Augustus_model.g937.t1;Augustus}
69266	68995	internal-	6	4	{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
69339	69267	INTRON			{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
69443	69340	internal-	4	5	{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
69508	69444	INTRON			{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
69537	69509	internal-	5	6	{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
69602	69538	INTRON			{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
69759	69603	internal-	4	4	{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
69823	69760	INTRON			{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}
69910	69824	initial-	4	6	{GeneMark_model.1241_t;GeneMark},{GlimmerHMM_glimmerT_1145-T1;GlimmerHMM},{Augustus_model.g937.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 4.28 70110-75748 orient(+) score(18897.00) noncoding_equivalent(4420.07) raw_noncoding(5234.00) offset(813.93) 
70110	70225	initial+	1	2	{GeneMark_model.1242_t;GeneMark},{Augustus_model.g938.t1;Augustus},{GlimmerHMM_glimmerT_1146-T1;GlimmerHMM}
70226	70280	INTRON			{GeneMark_model.1242_t;GeneMark},{Augustus_model.g938.t1;Augustus},{GlimmerHMM_glimmerT_1146-T1;GlimmerHMM}
